Animal_Name,Sex
WT209G3N2F20104,0
WT209G3N2F20105,0
WT209G3N2F20106,0
WT209G3N2F20107,0
WT209G3N2F20108,0
WT209G3N2F20109,1
WT209G3N2F20110,1
WT209G3N2F20111,0
WT209G3N2F20112,0
WT209G3N2F20113,1
WT209G3N2F20114,0
WT209G3N2F20115,0
WT209G3N2F20116,0
WT209G3N2F20117,0
WT209G3N2F20118,0
WT209G3N2F20119,1
WT209G3N2F20120,1
WT209G3N2F20121,0
WT209G3N2F20122,0
WT209G3N2F20123,0
WT209G3N2F20124,0
WT209G3N2F20125,0
WT209G3N2F20126,0
WT209G3N2F20127,0
WT209G3N2F20128,0
WT209G3N2F20129,0
WT209G3N2F20130,0
WT209G3N2F20131,1
WT209G3N2F20132,1
WT209G3N2F20133,1
WT209G3N2F20134,0
WT209G3N2F20135,1
WT209G3N2F20136,1
WT209G3N2F20137,1
WT209G3N2F20138,1
WT209G3N2F20139,1
WT209G3N2F20140,0
WT209G3N2F20141,0
WT209G3N2F20142,0
WT209G3N2F20143,0
WT209G3N2F20144,0
WT209G3N2F20145,0
WT209G3N2F20146,1
WT209G3N2F20210,0
WT209G3N2F20211,0
WT209G3N2F20212,1
WT209G3N2F20213,0
WT209G3N2F20219,0
WT209G3N2F20220,0
WT209G3N2F20221,1
WT209G3N2F20222,1
WT209G3N2F20223,1
WT209G3N2F20224,0
WT209G3N2F20225,0
WT209G3N2F20226,0
WT209G3N2F20227,0
WT209G3N2F20228,1
WT209G3N2F20229,1
WT209G3N2F20230,1
WT209G3N2F20231,1
WT209G3N2F20232,1
WT209G3N2F20233,1
WT209G3N2F20234,0
WT209G3N2F20235,0
WT209G3N2F20236,0
WT209G3N2F20237,0
WT209G3N2F20238,1
WT209G3N2F20239,1
WT209G3N2F20240,1
WT209G3N2F20241,1
WT209G3N2F20242,1
WT209G3N2F20243,0
WT209G3N2F20244,0
WT209G3N2F20245,0
WT209G3N2F20246,0
WT209G3N2F20247,0
WT209G3N2F20248,0
WT209G3N2F20249,0
WT209G3N2F20250,1
WT209G3N2F20251,1
WT209G3N2F20252,1
WT209G3N2F20253,0
WT209G3N2F20254,0
WT209G3N2F20255,0
WT209G3N2F20256,0
WT209G3N2F20257,0
WT209G3N2F20258,1
WT209G3N2F20259,1
WT209G3N2F20260,1
WT209G3N2F20261,1
WT209G3N2F20262,1
WT209G3N2F20263,1
WT209G3N2F20401,0
WT209G3N2F20402,0
WT209G3N2F20403,0
WT209G3N2F20404,0
WT209G3N2F20405,0
WT209G3N2F20406,0
WT209G3N2F20407,0
WT209G3N2F20408,0
WT209G3N2F20409,1
WT209G3N2F20410,1
WT209G3N2F20411,1
WT209G3N2F20412,1
WT209G3N2F20413,1
WT209G3N2F20414,1
WT209G3N2F20415,1
WT209G3N2F20416,0
