Animal_Name,Wali_Score_Onset,Wali_Score_Bout,Wali_Score_Running_into_Itself,VK_Score_Onset,VK_Score_Bout,VK_Score_Running_into_Itself,T1sum5minavg,T1_sum60min,T1_baselineavg,T1_30avg,T1_respbaseline,T2sum5minavg,T2_sum60min,T2_baselineavg,T2_30avg,T2_respbaseline,T1_TotalDist,T1_PercentCornerDist,T1_PercentPeripheralDist,T1_PercentCenterDist,T1_PercentCornerTime,T1_PercentPeripheralTime,T1_PercentCenterTime,T2_TotalDist,T2_PercentCornerDist,T2_PercentPeripheralDist,T2_PercentCenterDist,T2_PercentCornerTime,T2_PercentPeripheralTime,T2_PercentCenterTime,DD0Tau1ChiSq,DD0Power1,DD0Signif1,DD0PowerFFT,DD0Tau2ChiSq,DD0Power2,DD0signif2,DD0TauFFT,DD0AvgCounts,DD0Lightcounts,DD0DarkCounts,DD0TotalCounts,DD0Lightcounts,DD0Alpha,DD1Tau1ChiSq,DD1Power1,DD1Signif1,DD1PowerFFT,DD1Tau2ChiSq,DD1Power2,DD1Signif2,DD1TauFFT,DD1AvgCounts,DD1Lightcounts,DD1DarkCounts,DD1TotalCounts,DD1percentLightcounts,DD1Alpha,DD2Tau1ChiSq,DD2Power1,DD2Signif1,DD2PowerFFT,DD2Tau2ChiSq,DD2Power2,DD2Signif2,DD2TauFFT,DD2AvgCounts,DD2Lightcounts,DD2DarkCounts,DD2TotalCounts,DD2percentLightcounts,DD2Alpha,DDMAP0Tau1ChiSq,DDMAP0Power1,DDMAP0Signif1,DDMAP0PowerFFT,DDMAP0Tau2ChiSq,DDMAP0Power2,DDMAP0Signif2,DDMAP0TauFFT,DDMAP0AvgCounts,DDMAP0Lightcounts,DDMAP0DarkCounts,DDMAP0TotalCounts,DDMAP0percentLightcounts,DDMAP0Alpha,DDMAP1Tau1ChiSq,DDMAP1Power1,DDMAP1Signif1,DDMAP1PowerFFT,DDMAP1Tau2ChiSq,DDMAP1Power2,DDMAP1Signif2,DDMAP1TauFFT,DDMAP1AvgCounts,DDMAP1Lightcounts,DDMAP1DarkCounts,DDMAP1TotalCounts,DDMAP1percentLightcounts,DDMAP1Alpha,DDMAP2Tau1ChiSq,DDMAP2Power1,DDMAP2Signif1,DDMAP2PowerFFT,DDMAP2Tau2ChiSq,DDMAP2Power2,DDMAP2Signif2,DDMAP2TauFFT,DDMAP2AvgCounts,DDMAP2Lightcounts,DDMAP2DarkCounts,DDMAP2TotalCounts,DDMAP2percentLightcounts,DDMAP2Alpha,DDMAP3Tau1ChiSq,DDMAP3Power1,DDMAP3Signif1,DDMAP3PowerFFT,DDMAP3Tau2ChiSq,DDMAP3Power2,DDMAP3Signif2,DDMAP3TauFFT,DDMAP3AvgCounts,DDMAP3Lightcounts,DDMAP3DarkCounts,DDMAP3TotalCounts,DDMAP3percentLightcounts,DDMAP3Alpha,DDMAP4Tau1ChiSq,DDMAP4Power1,DDMAP4Signif1,DDMAP4PowerFFT,DDMAP4Tau2ChiSq,DDMAP4Power2,DDMAP4Signif2,DDMAP4TauFFT,DDMAP4AvgCounts,DDMAP4Lightcounts,DDMAP4DarkCounts,DDMAP4TotalCounts,DDMAP4percentLightcounts,DDMAP4Alpha,DDMAP5Tau1ChiSq,DDMAP5Power1,DDMAP5Signif1,DDMAP5PowerFFT,DDMAP5Tau2ChiSq,DDMAP5Power2,DDMAP5Signif2,DDMAP5TauFFT,DDMAP5AvgCounts,DDMAP5Lightcounts,DDMAP5DarkCounts,DDMAP5TotalCounts,DDMAP5percentLightcounts,DDMAP5Alpha,LDTau1ChiSq,LDPower1,LDSignif1,LDPowerFFT,LDTau2ChiSq,LDPower2,LDSignif2,LDTauFFT,LDAvgCounts,LDLightcounts,LDDarkCounts,LDTotalCounts,LDpercentLightcounts,LDAlpha
WT209G3N2F20104,1,1,0,1,1,0,3637.6,6386.4,674.9090909,605.3333333,-69.57575758,5295,8828.6,528.9090909,853.9666667,325.0575758,10168.3,20.5,68,32,32,76,24,9875.5,18.6,66.4,33.6,25.4,69.6,30.4,23.7,3841.579,310.042,0.199,11.9,334.169,172.464,0.042,26.232,177.48,37595.92,37773.4,0.47,3.224,23.8,1577.993,311.184,0.202,11.9,237.244,172.464,0.042,25.584,231.7,36609.9,36841.6,0.629,10.7,23.7,1640.205,310.042,0.196,11.8,180.916,171.263,0.042,27.224,209.5,38993.2,39202.7,0.534,0.01,23.9,4763.151,312.325,0.199,15.9,260.692,219.885,0.042,25.396,2.634,36567.659,36570.293,0.007,9.171,23.8,1795.624,311.184,0.234,11.9,183.618,172.464,0.042,35.099,10.2,50532.6,50542.8,0.02,9.01,23.8,1693.785,311.184,0.222,15.9,167.838,219.885,0.042,30.534,0.6,43968.6,43969.2,0.001,12.58,23.9,1353.338,312.325,0.183,26.1,266.993,337.363,0.042,24.123,0,34737.3,34737.3,0,11.48,24,666.125,313.466,0.091,26.1,316.308,337.363,0.042,14.367,0,20688.9,20688.9,0,4.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,966.5,312.325,0.116,16.1,254.981,222.23,0.042,14.531,98.556,20826.222,20924.778,0.471,8.111
WT209G3N2F20105,2,3,0,2,2,0,3302,6481.6,578.5454545,571.2666667,-7.278787879,5210.6,8577.2,397,865,468,8146.7,17.6,69.1,30.9,34.1,78.6,21.4,7292.9,25.7,79.7,20.3,57.1,91.9,8.1,24,2385.496,313.466,0.132,16,462.231,221.057,0.042,21.692,153.2,31083.8,31237,0.49,11.508,24.1,1053.766,314.607,0.071,16.1,376.974,222.23,0.042,20.88,99.7,29967.6,30067.3,0.332,10.95,23.9,1253.93,312.325,0.162,11.9,172.138,172.464,0.042,24.13,283.3,34464,34747.3,0.815,13.66,24.4,2811.612,318.027,0.138,12.1,270.649,174.862,0.041,20.246,119.707,29034.537,29154.244,0.411,1.146,23.9,936.91,312.325,0.108,12,194.148,173.663,0.042,23.629,256.5,33769.4,34025.9,0.754,11.69,24.6,1019.625,320.306,0.132,26.7,303.976,344.169,0.042,22.66,119.6,32511.4,32631,0.367,3.82,24.6,1122.031,320.306,0.127,12.4,281.665,178.453,0.042,20.4,0,29375.3,29375.3,0,5.61,24.2,652.943,315.747,0.065,32.4,489.915,408.417,0.042,16.32,114.7,23385.5,23500.2,0.488,5.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,600.985,312.325,0.036,26.1,343.126,337.363,0.042,7.936,80.667,11347.222,11427.889,0.706,12.667
WT209G3N2F20106,0,0,0,0,0,0,1770.2,3561.2,468.9090909,284.4,-184.5090909,5078.6,7564.4,420.6363636,843.2666667,422.630303,7771.2,17.5,66.3,33.7,27.4,76.7,23.3,6462.4,17.2,67.3,32.7,25.8,68.9,31.1,23.9,2228.009,312.325,0.07,12,452.55,173.663,0.042,13.65,136.04,19519.76,19655.8,0.692,9.784,23.9,1126.982,312.325,0.078,12,262.368,173.663,0.042,15.642,254.5,22269.4,22523.9,1.13,11.7,23.9,1019.566,312.325,0.067,12,253.668,173.663,0.042,13.003,85.6,18638.2,18723.8,0.457,9.5,23.9,2913.287,312.325,0.06,35.9,998.892,447.554,0.042,13.406,35.341,19268.854,19304.195,0.183,7.571,23.9,1015.973,312.325,0.091,11.9,450.509,172.464,0.042,17.741,86.2,25461.5,25547.7,0.337,3.65,23.9,685.266,312.325,0.068,11.9,233.732,172.464,0.042,12.677,2.6,18252.8,18255.4,0.014,13.96,23.9,905.258,312.325,0.061,12,283.645,173.663,0.042,12.882,51.1,18499.6,18550.7,0.275,2.31,23.8,912.699,311.184,0.075,11.9,286.806,172.464,0.042,11.662,5,16788.4,16793.4,0.03,11.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,711.68,312.325,0.044,12,242.99,173.663,0.042,8.94,18.333,12855.889,12874.222,0.142,11.667
WT209G3N2F20107,1,3,1,2,3,1,6573.4,11905.8,601.4545455,1119.166667,517.7121212,9287.8,14009.8,725.5454545,1531.9,806.3545455,8965.4,14.6,62,38,25.1,68.4,31.6,10144.2,13.5,60.4,39.6,26.2,72.5,27.5,23.4,3277.144,306.615,0.169,15.6,537.018,216.363,0.043,28.243,120.88,40548.32,40669.2,0.297,1.096,23.5,1456.816,307.758,0.192,15.7,245.127,217.537,0.042,29.257,285.8,41844.5,42130.3,0.678,6.54,23.4,1478.367,306.615,0.172,15.6,310.866,216.363,0.042,28.327,16.4,40774.2,40790.6,0.04,4.16,24,2620.055,313.466,0.098,26.2,639.653,338.498,0.042,32.398,99.439,46553.366,46652.805,0.213,7.724,23.8,1413.488,311.184,0.17,11.9,300.31,172.464,0.042,34.525,0,49715.4,49715.4,0,14.05,24.7,1116.674,321.445,0.167,15.6,170.159,216.363,0.042,37.774,89.9,54305,54394.9,0.165,7.54,24.6,1085.958,320.306,0.136,29.5,430.125,375.817,0.042,31.172,157.6,44730.4,44888,0.351,9.75,29.7,717.219,378.071,0.07,24.5,443.543,319.167,0.042,29.36,160.2,42118,42278.2,0.379,0.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1160.144,312.325,0.161,11.9,280.097,172.464,0.042,16.438,164.333,23505.667,23670,0.694,11.911
WT209G3N2F20108,1,2,0,0,3,0,2285.8,4624.8,283.0909091,398.2666667,115.1757576,3560.8,5307,211.2727273,594.3333333,383.0606061,5277.9,20.3,63.3,36.7,43.5,76.5,23.5,4375.1,16.2,64.1,35.9,32.8,72.6,27.4,24,3167.41,313.466,0.162,16,576.761,221.057,0.042,23.549,352.36,33558.6,33910.96,1.039,13.816,23.9,1491.59,312.325,0.161,12,315.335,173.663,0.042,19.629,360.8,27904.7,28265.5,1.276,15.08,23.9,1538.136,312.325,0.142,16,485.546,221.057,0.042,27.106,368.5,38663.6,39032.1,0.944,12.51,24,2513.044,313.466,0.111,12.3,687.525,177.257,0.041,22.786,246.976,32565.512,32812.488,0.753,5.705,24.1,1117.94,314.607,0.113,12,291.62,173.663,0.042,27.262,400.1,38856.5,39256.6,1.019,8.17,24.4,1334.443,318.027,0.177,12.3,372.348,177.257,0.042,27.14,157.1,38924.3,39081.4,0.402,9.59,24.5,1278.857,319.167,0.105,12.2,634.092,176.06,0.083,19.848,206.4,28375,28581.4,0.722,0.36,24.15,666.103,379.198,0.044,23.9,472.923,312.325,0.033,19.175,249,27362.8,27611.8,0.902,5.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1290.354,312.325,0.161,11.9,243.706,172.464,0.042,13.737,220.222,19560.667,19780.889,1.113,14.756
WT209G3N2F20109,-,-,-,-,-,-,3221.6,5045,401,527.3,126.3,6526.2,8921.8,473.2727273,1058.966667,585.6939394,7842.6,15.8,64.4,35.6,23.9,70.5,29.5,7808.6,13.9,54.8,45.2,25.8,64.9,35.1,23.8,3674.518,311.184,0.218,15.9,322.799,219.885,0.042,32.448,335.92,46388.52,46724.44,0.719,8.62,23.8,1543.271,311.184,0.224,15.9,161.008,219.885,0.042,30.868,371.9,44078.1,44450,0.837,12.37,23.8,1643.207,311.184,0.206,11.9,126.469,172.464,0.042,34.941,344.9,49970.7,50315.6,0.685,5.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.048,-,-,-,0.017,1.037,60.8,1432.2,1493,4.072,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1429.361,312.325,0.213,16.1,203.338,222.23,0.042,20.071,208.333,28693.333,28901.667,0.721,12.533
WT209G3N2F20110,1,1,0,1,1,0,7742.2,11400.8,809,1280.9,471.9,8130,11383.4,727.8181818,1277.033333,549.2151515,12277.4,12.5,53.8,46.2,20.9,59.5,40.5,11698,7.04,48.2,51.8,12.6,50.5,49.5,23.9,3589.218,312.325,0.251,16,275.426,221.057,0.042,32.654,338.36,46683.8,47022.16,0.72,13.06,23.9,1702.904,312.325,0.265,16.1,169.471,222.23,0.042,33.997,366.2,48589.2,48955.4,0.748,12.87,23.9,1628.381,312.325,0.257,22.1,224.694,291.734,0.042,33.781,330.2,48315.1,48645.3,0.679,13.05,23.9,1913.844,312.325,0.059,25.1,496.265,325.999,0.042,27.023,300.268,38612.951,38913.22,0.772,7.207,23.8,1336.693,311.184,0.225,11.9,117.101,172.464,0.042,37.794,444.2,53978.6,54422.8,0.816,10.35,24.4,687.064,318.027,0.118,12.2,168.672,176.06,0.037,29.32,323,41898.2,42221.2,0.765,6.12,23.9,641.239,312.325,0.1,25.8,305.211,333.957,0.042,30.013,362.7,42855.4,43218.1,0.839,9.47,-,-,-,0.09,-,-,-,0.008,13.668,101.2,19580.9,19682.1,0.514,3.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1592.028,312.325,0.272,16.1,181.637,222.23,0.042,21.657,261.111,30925.444,31186.556,0.837,13.656
WT209G3N2F20111,0,1,0,0,1,0,4715.6,7142,695.8181818,766.5666667,70.74848485,6593,9190.8,784,1022.133333,238.1333333,11773.7,12.1,59.6,40.4,19,68.7,31.3,13241.2,20.2,81.7,18.3,38.3,85.4,14.6,23.8,2407.387,311.184,0.092,11.9,464.571,172.464,0.042,18.818,166.88,26930.44,27097.32,0.616,5.228,23.9,933.806,312.325,0.06,15.9,279.477,219.885,0.042,18.194,231.1,25967.9,26199,0.882,8.91,23.8,1223.47,311.184,0.115,11.9,305.582,172.464,0.042,19.888,182.8,28455.9,28638.7,0.638,4.05,23.8,2506.545,311.184,0.045,11.9,479.048,172.464,0.042,15.686,18.634,22568.854,22587.488,0.082,1.529,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.8,916.55,311.184,0.063,11.9,352.182,172.464,0.042,18.262,1.1,26295.7,26296.8,0.004,4.72,23.8,1094.11,311.184,0.063,15.9,414.976,219.885,0.042,17.679,0.6,25456.8,25457.4,0.002,3.92,23.8,949.856,311.184,0.087,15.9,261.551,219.885,0.042,17.034,0,24529.6,24529.6,0,8.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,910.772,312.325,0.051,11.9,419.377,172.464,0.042,15.949,86.111,22880.556,22966.667,0.375,8.267
WT209G3N2F20112,3,2,0,2,2,0,14616.8,22021.2,528.6363636,2476.2,1947.563636,14006.6,20238.6,679.1818182,2219.866667,1540.684848,9186.2,15.8,62.9,37.1,20.4,58.5,41.5,11337.6,18.6,71.3,28.7,30.2,77.6,22.4,23.6,2998.351,308.9,0.123,11.8,556.864,171.263,0.042,23.263,106.68,33391.4,33498.08,0.318,1.656,23.7,1271.139,310.042,0.122,11.8,295.1,171.263,0.042,23.115,255.1,33030.6,33285.7,0.766,5.18,23.6,1294.183,308.9,0.134,11.8,263.859,171.263,0.042,23.21,11.6,33411.3,33422.9,0.035,5.14,24.1,4871.107,314.607,0.204,12.1,360.222,174.862,0.042,24.78,0.098,35682.829,35682.927,0,8.541,23.9,1282.675,312.325,0.18,10,99.875,149.5,0.042,29.501,0.3,42481.1,42481.4,0.001,9.08,23.9,1638.959,312.325,0.23,12.1,173.976,174.862,0.042,27.245,0,39232.1,39232.1,0,11.87,24.4,1621.739,318.027,0.196,12.2,307.289,176.06,0.042,23.824,0.1,34306.9,34307,0,7.82,24,1201.563,313.466,0.171,12,195.405,173.663,0.042,21.027,0,30279.5,30279.5,0,6.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1480.62,312.325,0.201,12,262.438,173.663,0.042,21.531,348.889,30656.444,31005.333,1.125,12.889
WT209G3N2F20113,3,2,0,2,2,0,5464.6,8155.8,351.8181818,900.2,548.3818182,6108,8432.4,257.0909091,1016.833333,759.7424242,6735.4,21,75.4,24.6,33.6,86.5,13.5,4674.7,21.9,76.9,23.1,40.1,91.5,8.48,23.7,4091.706,310.042,0.223,15.8,499.906,218.711,0.042,34.732,246.36,49767.08,50013.44,0.493,2.568,23.7,1615.727,310.042,0.226,15.8,271.676,218.711,0.042,32.623,437.8,46538.6,46976.4,0.932,12.77,23.6,1712.566,308.9,0.247,15.7,229.357,217.537,0.042,35.733,178.1,51277.1,51455.2,0.346,1.03,24.2,5324.559,315.747,0.235,25,340.496,324.861,0.042,39.329,419.683,56214.195,56633.878,0.741,10.078,24.6,1538.591,320.306,0.227,26.4,276.265,340.767,0.042,43.182,167,62014.6,62181.6,0.269,3.6,23.9,1729.012,312.325,0.292,22.4,216.213,295.173,0.042,40.938,430.6,58520.8,58951.4,0.73,12.37,24.3,1379.921,316.888,0.217,26,275.627,336.228,0.042,39.533,493.5,56434,56927.5,0.867,12.72,23.6,1251.313,308.9,0.224,25.6,286.556,331.684,0.042,37.596,629.6,53508.8,54138.4,1.163,12.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1593.784,312.325,0.284,21.8,241.449,288.292,0.042,20.945,284.556,29876.111,30160.667,0.943,14.367
